Abbreviation,Spoken Form
jpg,J peg
abbr,abbreviate
admin,administrator
adv,advance
alloc,allocate
alt,alternative
app,application
arg,argument
afaik,as far as i know
asm,assembly
async,asynchronous
atm,at the moment
attr,attribute
avg,average
afk,away from keyboard
bkp,backup
brb,be right back
bin,binary
bool,boolean
btw,by the way
char,character
col,column
cmd,command
cfg,config
config,configuration
conn,connection
const,constant
ctrl,control
coord,coordinate
cpy,copy
cnt,count
ctr,counter
cred,credential
xref,cross reference
decl,declaration
def,definition
deg,degree
del,delete
dep,depend
desc,description
dev,develop
dir,directory
dist,distribution
doc,document
elem,element
enum,enumerate
env,environment
err,error
esc,escape
extern,external
http,hypertext
irl,in real life
info,information
init,initialize
int,integer
iter,iterate
json,jason
len,length
lib,library
mk,make
mgmt,management
md,markdown
max,maximum
mem,memory
msg,message
mvp,minimum viable product
min,minimum
misc,miscellaneous
num,number
nums,numbers
obj,object
ok,okay
os,operating system
op,operation
ops,operations
opt,option
orig,original
pkgbuild,package build
pkg,package
param,parameter
passwd,password
ptr,pointer
pref,preference
prev,previous
cpu,processor
py,python1
rand,random1
reg,registery
regex,regular expression
regex,regular expressions
rm,remove
ret,return
rev,revision
rnd,round
rb,ruby
rs,rust
C,see
seg,segment
sel,select
sql,sequel
[...],snipped
sum,some
src,source
spec,specification
stderr,standard error
stdin,standard in
stdout,standard out
std,standard
stat,statistic
stats,statistics
str,string
struct,structure
structs,structures
sym,symbol
symlink,symbolic link
sys,system
toc,table of contents
tbl,table
tech,technology
tmp,temp
temp,temperature
tmp,temporary
term,terminal
txt,text
uuid,unique id
uid,user id
usr,user
util,utility
val,value
var,variable
vec,vector
ver,version
vs,versus
msvc,visual studio
wav,wave
www,web
wtf,what the fuck1
win,window
wip,work in progress
